Entity,Code,date,cases,deaths
United States,USA,2020-01-23,0,0
United States,USA,2020-01-24,1,0
United States,USA,2020-01-25,0,0
United States,USA,2020-01-26,3,0
United States,USA,2020-01-27,0,0
United States,USA,2020-01-28,0,0
United States,USA,2020-01-29,1,0
United States,USA,2020-01-30,0,0
United States,USA,2020-01-31,2,0
United States,USA,2020-02-01,0,0
United States,USA,2020-02-02,0,0
United States,USA,2020-02-03,3,0
United States,USA,2020-02-04,0,0
United States,USA,2020-02-05,0,0
United States,USA,2020-02-06,1,0
United States,USA,2020-02-07,0,0
United States,USA,2020-02-08,0,0
United States,USA,2020-02-09,0,0
United States,USA,2020-02-10,0,0
United States,USA,2020-02-11,1,0
United States,USA,2020-02-12,0,0
United States,USA,2020-02-13,1,0
United States,USA,2020-02-14,0,0
United States,USA,2020-02-15,0,0
United States,USA,2020-02-16,0,0
United States,USA,2020-02-17,0,0
United States,USA,2020-02-18,0,0
United States,USA,2020-02-19,0,0
United States,USA,2020-02-20,0,0
United States,USA,2020-02-21,2,0
United States,USA,2020-02-22,0,0
United States,USA,2020-02-23,0,0
United States,USA,2020-02-24,0,0
United States,USA,2020-02-25,0,0
United States,USA,2020-02-26,0,0
United States,USA,2020-02-27,1,0
United States,USA,2020-02-28,0,0
United States,USA,2020-02-29,8,1
United States,USA,2020-03-01,7,0
United States,USA,2020-03-02,23,5
United States,USA,2020-03-03,19,1
United States,USA,2020-03-04,33,4
United States,USA,2020-03-05,77,1
United States,USA,2020-03-06,53,2
United States,USA,2020-03-07,166,3
United States,USA,2020-03-08,116,4
United States,USA,2020-03-09,75,1
United States,USA,2020-03-10,188,6
United States,USA,2020-03-11,365,5
United States,USA,2020-03-12,439,10
United States,USA,2020-03-13,633,8
United States,USA,2020-03-14,759,7
United States,USA,2020-03-15,234,12
United States,USA,2020-03-16,1467,27
United States,USA,2020-03-17,1833,37
United States,USA,2020-03-18,2657,60
United States,USA,2020-03-19,4494,72
United States,USA,2020-03-20,6367,106
United States,USA,2020-03-21,5995,103
United States,USA,2020-03-22,8919,128
United States,USA,2020-03-23,11152,187
United States,USA,2020-03-24,10618,243
United States,USA,2020-03-25,12127,333
United States,USA,2020-03-26,17821,417
United States,USA,2020-03-27,18591,522
United States,USA,2020-03-28,22164,713
United States,USA,2020-03-29,16127,555
United States,USA,2020-03-30,22154,707
United States,USA,2020-03-31,26381,1079
United States,USA,2020-04-01,32318,1276
United States,USA,2020-04-02,32346,1511
United States,USA,2020-04-03,32396,1420
United States,USA,2020-04-04,32337,1606
United States,USA,2020-04-05,29354,1618
United States,USA,2020-04-06,31894,1733
United States,USA,2020-04-07,30548,2576
United States,USA,2020-04-08,31145,2151
United States,USA,2020-04-09,36094,2213
